species,tree_id,age,ring_width
Ponderosa pine,PP5,5,2.78
Ponderosa pine,PP5,6,2.98
Ponderosa pine,PP5,7,3.15
Ponderosa pine,PP5,8,3.28
Ponderosa pine,PP5,9,3.37
Ponderosa pine,PP5,10,3.47

White oak,WO1,1,1.22
White oak,WO1,2,1.18
White oak,WO1,3,1.15
White oak,WO1,4,1.11
White oak,WO1,5,1.07
White oak,WO1,6,1.03
White oak,WO1,7,0.98
White oak,WO1,8,0.94
White oak,WO1,9,0.90
White oak,WO1,10,0.87
White oak,WO1,11,0.83
White oak,WO1,12,0.80
White oak,WO1,13,0.77
White oak,WO1,14,0.74
White oak,WO1,15,0.70
White oak,WO2,1,1.20
White oak,WO2,2,1.16
White oak,WO2,3,1.13
White oak,WO2,4,1.09
White oak,WO2,5,1.05
White oak,WO2,6,1.01
White oak,WO2,7,0.97
White oak,WO2,8,0.93
White oak,WO2,9,0.89
White oak,WO2,10,0.85
White oak,WO2,11,0.82
White oak,WO2,12,0.78
White oak,WO2,13,0.75
White oak,WO2,14,0.72
White oak,WO2,15,0.69
White oak,WO3,1,1.18
White oak,WO3,2,1.14
White oak,WO3,3,1.11
White oak,WO3,4,1.08
White oak,WO3,5,1.04
White oak,WO3,6,1.00
White oak,WO3,7,0.96
White oak,WO3,8,0.92
White oak,WO3,9,0.88
White oak,WO3,10,0.85
White oak,WO3,11,0.81
White oak,WO3,12,0.78
White oak,WO3,13,0.74
White oak,WO3,14,0.71
White oak,WO3,15,0.68
